epoch,accuracy,loss,val_accuracy,val_loss
0,0.9579257,0.1831095151603222,0.9818517565727234,0.21302713453769684
1,0.9760234,0.10936626849903,0.981846034526825,0.09666585177183151
2,0.97702456,0.09363083309597439,0.9811583161354065,0.09739735722541809
3,0.9782139,0.08325144019391802,0.9794248342514038,0.07157053798437119
4,0.97909284,0.07688355094028844,0.9792664647102356,0.07316591590642929
5,0.9797912,0.07155228335824278,0.9742892384529114,0.077341228723526
6,0.98034155,0.06714044403698709,0.9753751754760742,0.09432503581047058
7,0.98070556,0.06595266304082341,0.9753819704055786,0.09864944219589233
8,0.98179257,0.06082213715546661,0.9767224192619324,0.0866510346531868
9,0.98269725,0.0567914794302649,0.9742375016212463,0.10867459326982498
10,0.9829257,0.05575180113729503,0.9749114513397217,0.07374304533004761
11,0.9835268,0.05295041278004646,0.9755012392997742,0.10136464238166809
12,0.983961,0.051232142746448515,0.9752705097198486,0.05559556931257248
13,0.98439145,0.049651749452783,0.975679874420166,0.08003060519695282
14,0.98519886,0.04720303888122241,0.9675841927528381,0.0928686112165451
15,0.985141,0.0466974344311489,0.9711086750030518,0.102985680103302
16,0.9857208,0.04510971224970288,0.977611780166626,0.06314732134342194
17,0.98598933,0.04381952830072906,0.9635529518127441,0.11078343540430069
18,0.98650414,0.04185594336854087,0.9583725929260254,0.10426093637943268
19,0.98690116,0.04111418076273468,0.9771881699562073,0.08828287571668625
20,0.9875417,0.0388061664170689,0.9771782755851746,0.0766122117638588
21,0.9878898,0.03727047534452544,0.9739588499069214,0.0780034214258194
22,0.98779446,0.0381415873972906,0.9788718819618225,0.07038505375385284
23,0.98817754,0.03679777890857723,0.9750720262527466,0.08442115038633347
24,0.98832417,0.035586812098821,0.9634213447570801,0.1320502907037735
25,0.9888,0.033875189162790774,0.9752428531646729,0.06710920482873917
26,0.98874956,0.034258261426455446,0.9758123159408569,0.09097016602754593
27,0.98910475,0.03309134629865487,0.9770869612693787,0.04820506274700165
28,0.98939586,0.032259738424585925,0.9774805307388306,0.05066169053316116
29,0.9890878,0.033363252981669374,0.9768843650817871,0.06672337651252747
30,0.9893213,0.03261442470053832,0.9756673574447632,0.07723885029554367
31,0.9896898,0.031111237303250366,0.9768194556236267,0.09133702516555786
32,0.98993057,0.030826272836161985,0.9786995053291321,0.05917201563715935
33,0.98996896,0.03047894359462791,0.9749097228050232,0.09788963943719864
34,0.9901933,0.029109350643638107,0.9774079918861389,0.06033264100551605
35,0.99047035,0.02858815507756339,0.9754565954208374,0.07311856001615524
36,0.9903616,0.0289617490540776,0.981483519077301,0.05236656591296196
37,0.9909683,0.027297945744875405,0.9773427248001099,0.09292266517877579
38,0.9907058,0.027970196327401532,0.9808720350265503,0.04779491201043129
39,0.99088776,0.02719287689154347,0.9834036231040955,0.05827381834387779
40,0.9910522,0.026612295034444993,0.9821345210075378,0.055342886596918106
41,0.9912556,0.026127087976783515,0.9781205058097839,0.04423803091049194
42,0.9912207,0.026518591286407576,0.9713199734687805,0.06540058553218842
43,0.99148244,0.025343199684802028,0.9897847175598145,0.026508204638957977
44,0.9916264,0.025071690717919006,0.9866923689842224,0.04082423076033592
45,0.99144894,0.025774164590984583,0.9797666668891907,0.062442928552627563
46,0.991822,0.02418880227746235,0.9877361059188843,0.05649438872933388
47,0.9917683,0.024346967610634037,0.9830008745193481,0.05001422017812729
48,0.99173135,0.02460925273804201,0.9879489541053772,0.020967481657862663
49,0.992025,0.024200262864016824,0.9900043606758118,0.03915194794535637
50,0.99188447,0.02423086173625456,0.9770102500915527,0.055214107036590576
51,0.99237543,0.022692058607935904,0.9906215071678162,0.04308924823999405
52,0.9920912,0.023630955753227077,0.9871439337730408,0.024786923080682755
53,0.9923036,0.02252616710546944,0.9818512201309204,0.06666593253612518
54,0.9925065,0.021901747480862672,0.9796045422554016,0.06041155382990837
55,0.99248266,0.021917483541700575,0.9895098805427551,0.06006978452205658
56,0.9924393,0.022338864269355933,0.9885612726211548,0.042045094072818756
57,0.99254054,0.022419101962198814,0.9852656126022339,0.04089994728565216
58,0.99261147,0.022046007671289974,0.9795144200325012,0.03458797559142113
59,0.99261886,0.021756418877177768,0.9865939021110535,0.028683772310614586
60,0.99271715,0.02129409092788895,0.9892293214797974,0.02094600722193718
61,0.9927513,0.021380017573634783,0.9854406118392944,0.04967782646417618
62,0.99289525,0.020798841532733706,0.9910866022109985,0.035981543362140656
63,0.99284583,0.02103843389906817,0.9878977537155151,0.034732636064291
64,0.99281514,0.021004091203212737,0.9859062433242798,0.05036429688334465
65,0.99300176,0.020702719698763555,0.9917142391204834,0.04112192615866661
66,0.9932352,0.019871117992119658,0.9889201521873474,0.05343261733651161
